"dendlabs","prey_class","prey_order","prey_family","prey_sp","life_stage","vert_habitat","horz_habitat","diel_migrant_cat","season_cat","gregarious","maxFO","maxN","maxM","prob.clust.num"
"23","Actinopterygii","Beryciformes","Berycidae","Beryx splendens","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",1.6,0.2,0.4,6
"24","Actinopterygii","Clupeiformes","Clupeidae","Clupea pallasii","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",0,0,0,5
"25","Actinopterygii","Clupeiformes","Clupeidae","Sardina pilchardus","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",3.4,5.8,7.68,5
"26","Actinopterygii","Clupeiformes","Clupeidae","Sardinella aurita","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",0.8620689655,0.86,0.86,5
"27","Actinopterygii","Clupeiformes","Clupeidae","Sardinops sagax","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",29.0697674418605,3.90206579954093,7.4327699862311,5
"28","Actinopterygii","Clupeiformes","Engraulidae","Engraulis capensis","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",10,3.8,4.4,5
"29","Actinopterygii","Clupeiformes","Engraulidae","Engraulis encrasicolus","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",29.2,1.5,20,5
"30","Actinopterygii","Clupeiformes","Engraulidae","Engraulis japonicus","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","schooling",85.4,52.8,95.2,3
"31","Actinopterygii","Clupeiformes","Engraulidae","Engraulis mordax","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",69.7,40.4,23,5
"32","Actinopterygii","Gadiformes","Bregmacerotidae","Bregmaceros mcclellandi","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",2.1,0.3,0.2,2
"33","Actinopterygii","Gadiformes","Gadidae","Microgadus proximus","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",33.33333333,0.5,0,6
"34","Actinopterygii","Gadiformes","Gadidae","Micromesistius poutassou","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",72.4,4.5,68.5,5
"35","Actinopterygii","Gadiformes","Lotidae","Gaidropsarus vulgaris","juvenile","demersal","continental shelf","diel (no)","season (no)","non-schooling",8,0,0,4
"36","Actinopterygii","Gadiformes","Merlucciidae","Merluccius productus","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",100,19,30,6
"37","Actinopterygii","Gadiformes","Moridae","Antimora rostrata","juvenile","mesopelagic","continental shelf","diel (no)","season (yes)","schooling",0.7,0,0.5,1
"38","Actinopterygii","Myctophiformes","Myctophidae","Benthosema glaciale","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",10.3,0.1,0.7,2
"39","Actinopterygii","Myctophiformes","Myctophidae","Ceratoscopelus maderensis","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",29.6296296296296,0,0,2
"40","Actinopterygii","Myctophiformes","Myctophidae","Ceratoscopelus townsendi","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",7.7,0.6,0,2
"41","Actinopterygii","Myctophiformes","Myctophidae","Ceratoscopelus warmingii","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",5.6,0.8,0.2,2
"42","Actinopterygii","Myctophiformes","Myctophidae","Diaphus effulgens","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",2.1,0.2,0.2,2
"43","Actinopterygii","Myctophiformes","Myctophidae","Diaphus lucidus","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",7.9,5.8,4.4,2
"44","Actinopterygii","Myctophiformes","Myctophidae","Diaphus luetkeni","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",2.85714285714286,0,0,2
"45","Actinopterygii","Myctophiformes","Myctophidae","Diaphus ostenfeldi","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",0.7,0,0,2
"46","Actinopterygii","Myctophiformes","Myctophidae","Diaphus perspicillatus","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",7.9,5.8,5,2
"47","Actinopterygii","Myctophiformes","Myctophidae","Diaphus theta","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",5.6,9.8,0.2,2
"48","Actinopterygii","Myctophiformes","Myctophidae","Electrona risso","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",5.71428571428571,0.1,0.1,2
"49","Actinopterygii","Myctophiformes","Myctophidae","Hygophum hygomii","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",0.7,0,0,2
"50","Actinopterygii","Myctophiformes","Myctophidae","Lampadena luminosa","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",0.5,0.3,0.5,2
"51","Actinopterygii","Myctophiformes","Myctophidae","Lampanyctodes hectoris","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",23.4,11.7,10.8,2
"52","Actinopterygii","Myctophiformes","Myctophidae","Lampanyctus alatus","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",5.55555555555556,0,0,2
"53","Actinopterygii","Myctophiformes","Myctophidae","Lampanyctus crocodilus","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",48.5714285714286,0,0,2
"54","Actinopterygii","Myctophiformes","Myctophidae","Lampanyctus intricarius","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",37.037037037037,0,0,2
"55","Actinopterygii","Myctophiformes","Myctophidae","Lampanyctus mexicanus","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",0.996677740863787,0,0,2
"56","Actinopterygii","Myctophiformes","Myctophidae","Lobianchia gemellarii","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",4,0.1,0,2
"57","Actinopterygii","Myctophiformes","Myctophidae","Myctophum asperum","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",2.2,0.9,0.6,2
"58","Actinopterygii","Myctophiformes","Myctophidae","Myctophum punctatum","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",68.5185185185185,0,0,2
"59","Actinopterygii","Myctophiformes","Myctophidae","Nannobrachium regale","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",0.996677740863787,0,0,2
"60","Actinopterygii","Myctophiformes","Myctophidae","Nannobrachium ritteri","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",1.8,0.1,0,2
"61","Actinopterygii","Myctophiformes","Myctophidae","Notoscopelus kroyeri","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",15.8,0,6.3,2
"62","Actinopterygii","Myctophiformes","Myctophidae","Protomyctophum crockeri","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",2.7,0.2,0,2
"63","Actinopterygii","Myctophiformes","Myctophidae","Stenobrachius leucopsarus","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",7.6,0.2,0.2,2
"64","Actinopterygii","Myctophiformes","Myctophidae","Symbolophorus barnardi","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",9,3.7,4.7,2
"65","Actinopterygii","Myctophiformes","Myctophidae","Symbolophorus evermanni","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",0.3,0,0,2
"66","Actinopterygii","Myctophiformes","Myctophidae","Tarletonbeania crenularis","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",100,5.4,0,2
"67","Actinopterygii","Myctophiformes","Myctophidae","Triphoturus mexicanus","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",6.97674418604651,0.459066564651875,0.000609243441494352,2
"68","Actinopterygii","Ophidiiformes","Aphyonidae","Barathronus parfaiti","adult","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",1.85185185185185,0,0,2
"69","Actinopterygii","Ophidiiformes","Ophdiidae","Chilara taylori","juvenile","epipelagic","continental shelf","diel (yes)","season (no)","schooling",0,0,0,6
"70","Actinopterygii","Osmeriformes","Microstomatidae","Nansenia macrolepis","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",13.6,5,4.2,2
"71","Actinopterygii","Osmeriformes","Opisthoproctidae","Monacoa grimaldii","adult","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",0.5,0,0,2
"72","Actinopterygii","Osmeriformes","Osmeridae","Thaleichthys pacificus","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",33.33333333,0,0,5
"73","Actinopterygii","Perciformes","Anarhichadidae","Anarrhichthys ocellatus","juvenile","epipelagic","continental shelf","diel (no)","season (no)","schooling",33.33333333,0,0,3
"74","Actinopterygii","Perciformes","Blenniidae","Blennius ocellaris","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","non-schooling",5.55555555555556,0,0,3
"75","Actinopterygii","Perciformes","Bramidae","Brama brama","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",0,0,0,5
"76","Actinopterygii","Perciformes","Bramidae","Brama orcini","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",3,0.1593117731,0,6
"77","Actinopterygii","Perciformes","Bramidae","Pterycombus petersii","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",4.7,0.1,2.2,5
"78","Actinopterygii","Perciformes","Bramidae","Taractes asper","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",0,0,0,5
"79","Actinopterygii","Perciformes","Caproidae","Antigonia capros","juvenile","epipelagic","continental shelf","diel (yes)","season (no)","schooling",3,0,0,6
"80","Actinopterygii","Perciformes","Caproidae","Capros aper","juvenile","epipelagic","continental shelf","diel (yes)","season (no)","schooling",14.2857142857143,0.22,0.06,6
"81","Actinopterygii","Perciformes","Carangidae","Decapterus macarellus","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",0.5,0.1,0,6
"82","Actinopterygii","Perciformes","Carangidae","Decapterus macrosoma","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",0.5,0,0.1,6
"83","Actinopterygii","Perciformes","Carangidae","Selene setapinnis","juvenile","demersal","coastal","diel (no)","season (no)","schooling",3,0,0,4
"84","Actinopterygii","Perciformes","Carangidae","Trachinotus ovatus","juvenile","epipelagic","coastal","diel (no)","season (yes)","schooling",1.85185185185185,0,0,3
"85","Actinopterygii","Perciformes","Carangidae","Trachurus japonicus","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",5.6,0.8,13.9,5
"86","Actinopterygii","Perciformes","Carangidae","Trachurus symmetricus","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",40.6976744186046,13.6954858454476,27.5378035555447,5
"87","Actinopterygii","Perciformes","Carangidae","Trachurus trachurus","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",43,28.1,42.4,5
"88","Actinopterygii","Perciformes","Centrolophidae","Centrolophus niger","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",1.85185185185185,0,0,5
"89","Actinopterygii","Perciformes","Centrolophidae","Icichthys lockingtoni","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",1,0,0,5
"90","Actinopterygii","Perciformes","Chiasmodontidae","Chiasmodon niger","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",9.5,1.7,1.6,2
"91","Actinopterygii","Perciformes","Coryphaenidae","Coryphaena hippurus","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling",0.3,0.01593117731,0,3
"92","Actinopterygii","Perciformes","Embiotocidae","Cymatogaster aggregata","adult","demersal","coastal","diel (no)","season (yes)","schooling",0.5,0.1,0,4
"93","Actinopterygii","Perciformes","Gempylidae","Diplospinus multistriatus","juvenile","mesopelagic","continental shelf","diel (yes)","season (no)","non-schooling",8,0,0,6
"94","Actinopterygii","Perciformes","Gempylidae","Gempylus serpens","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",5.2,0.7487653338,0.5,2
"95","Actinopterygii","Perciformes","Gempylidae","Lepidocybium flavobrunneum","juvenile","mesopelagic","continental shelf","diel (yes)","season (yes)","schooling",1.6,0,0,6
"96","Actinopterygii","Perciformes","Gempylidae","Nealotus tripes","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",3,0,0.1,2
"97","Actinopterygii","Perciformes","Gempylidae","Nesiarchus nasutus","juvenile","epipelagic","oceanic","diel (yes)","season (no)","non-schooling",3,0,0,5
"98","Actinopterygii","Perciformes","Gempylidae","Rexea prometheoides","juvenile","mesopelagic","continental shelf","diel (yes)","season (no)","schooling",2.2,0.1,0.7,6
"99","Actinopterygii","Perciformes","Gempylidae","Thyrsitoides marleyi","juvenile","mesopelagic","continental shelf","diel (yes)","season (no)","schooling",2.7,0.4,0.9,6
"100","Actinopterygii","Perciformes","Gobiidae","Rhinogobiops nicholsii","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","schooling",0,0,0,3
"101","Actinopterygii","Perciformes","Istiophoridae","Makaira mazara","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",0.5,0.5,0.5,5
"102","Actinopterygii","Perciformes","Kyphosidae","Medialuna californiensis","juvenile","epipelagic","coastal","diel (no)","season (yes)","schooling",1.16279069767442,0.0765110941086457,0.000609243441494352,3
"103","Actinopterygii","Perciformes","Labridae","Halichoeres nicholsi","juvenile","demersal","coastal","diel (no)","season (no)","schooling",0,0,0,4
"104","Actinopterygii","Perciformes","Mugilidae","Mugil cephalus","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",0,0,0,5
"105","Actinopterygii","Perciformes","Mullidae","Mullus barbatus barbatus","juvenile","demersal","continental shelf","diel (no)","season (yes)","schooling",1.85185185185185,0,0,4
"106","Actinopterygii","Perciformes","Nomeidae","Cubiceps capensis","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling",0.7,0.1,0.5,3
"107","Actinopterygii","Perciformes","Nomeidae","Cubiceps gracilis","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling",10,0,0,3
"108","Actinopterygii","Perciformes","Nomeidae","Cubiceps pauciradiatus","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling",70.7,69.4,69.4,3
"109","Actinopterygii","Perciformes","Nomeidae","Psenes pellucidus","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling",3,0,0,3
"110","Actinopterygii","Perciformes","Pomacentridae","Chromis punctipinnis","juvenile","demersal","coastal","diel (no)","season (yes)","schooling",0,0,0,4
"111","Actinopterygii","Perciformes","Priacanthidae","Cookeolus japonicus","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","schooling",0.5,0.2,0,3
"112","Actinopterygii","Perciformes","Scombridae","Katsuwonus pelamis","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",0.6,0.1433805958,0,5
"113","Actinopterygii","Perciformes","Scombridae","Scomber japonicus","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",3,0.306044376434583,0.00609243441494352,6
"114","Actinopterygii","Perciformes","Scombridae","Scomber scombrus","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",1.1,0.4,0.2,6
"115","Actinopterygii","Perciformes","Scombrolabracidae","Scombrolabrax heterolepis","juvenile","epipelagic","continental shelf","diel (yes)","season (no)","schooling",0.5,0,0,6
"116","Actinopterygii","Perciformes","Sparidae","Boops boops","juvenile","demersal","continental shelf","diel (yes)","season (no)","schooling",11.1111111111111,0,0,6
"117","Actinopterygii","Perciformes","Sparidae","Diplodus sargus","juvenile","demersal","coastal","diel (no)","season (yes)","schooling",2.85714285714286,0,0,4
"118","Actinopterygii","Perciformes","Sparidae","Spondyliosoma cantharus","juvenile","epipelagic","coastal","diel (no)","season (yes)","schooling",1.85185185185185,0,0,3
"119","Actinopterygii","Perciformes","Stromateidae","Peprilus simillimus","juvenile","epipelagic","coastal","diel (no)","season (yes)","schooling",0.5,0.1,0,3
"120","Actinopterygii","Perciformes","Tetragonuridae","Tetragonurus atlanticus","juvenile","epipelagic","oceanic","diel (no)","season (no)","schooling",14.2857142857143,0,0,3
"121","Actinopterygii","Perciformes","Tetragonuridae","Tetragonurus cuvieri","juvenile","epipelagic","oceanic","diel (no)","season (no)","schooling",0.6,0.04779353194,0,3
"122","Actinopterygii","Pleuronectiformes","Bothidae","Arnoglossus imperialis","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",24.0740740740741,0,0,6
"123","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys sordidus","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",0,0,0,6
"124","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronichthys decurrens","juvenile","demersal","continental shelf","diel (no)","season (no)","schooling",33.33333333,0,0,4
"125","Actinopterygii","Pleuronectiformes","Pleutonectidae","Microstomus pacificus","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",0,0,0,6
"126","Actinopterygii","Pleutonectiformes","Pleuronectidae","Glyptocephalus zachirus","juvenile","demersal","continental shelf","diel (no)","season (yes)","non-schooling",0,0,0,4
"127","Actinopterygii","Scorpaeniformes","Agonidae","Bathyagonus pentacanthus","juvenile","epipelagic","continental shelf","diel (no)","season (no)","non-schooling",0,0,0,3
"128","Actinopterygii","Scorpaeniformes","Anoplopomatidae","Anoplopoma fimbria","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","schooling",33.33333333,0,0,3
"129","Actinopterygii","Scorpaeniformes","Dactylopteridae","Dactyloptena orientalis","juvenile","epipelagic","coastal","diel (no)","season (no)","schooling",1.1,0.1,0,3
"130","Actinopterygii","Scorpaeniformes","Gonatidae","Helicolenus dactylopterus","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","non-schooling",16,0,0,3
"131","Actinopterygii","Scorpaeniformes","Peristediidae","Peristedion gracile","juvenile","demersal","continental shelf","diel (no)","season (no)","schooling",3,0,0,4
"132","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes aleutianus","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","schooling",0,0,0,3
"133","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes brevispinis","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","schooling",1,0,0,3
"134","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes diploproa","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","schooling",1,0,0,3
"135","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes helvomaculatus","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",0,0,0,6
"136","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes maliger","juvenile","epipelagic","coastal","diel (no)","season (yes)","non-schooling",0,0,0,3
"137","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes miniatus","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",0,0,0,5
"138","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes proriger","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","schooling",1,0,0,3
"139","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes wilsoni","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",1,0,0,6
"140","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes zacentrus","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",0,0,0,6
"141","Actinopterygii","Scorpaeniformes","Triglidae","Eutrigla gurnardus","juvenile","demersal","continental shelf","diel (no)","season (yes)","schooling",4,0,0,4
"142","Actinopterygii","Stephanoberyciformes","Melamphaidae","Melamphaes lugubris","adult","mesopelagic","oceanic","diel (no)","season (no)","non-schooling",5.9,1.1,0,1
"143","Actinopterygii","Stephanoberyciformes","Melamphaidae","Scopelogadus bispinosus","adult","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",2.7,0.4,0,2
"144","Actinopterygii","Stomiiformes","Phosichthyidae","Vinciguerria lucetia","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",20.1,0.1,4.95,2
"145","Actinopterygii","Stomiiformes","Sternoptychidae","Argyropelecus aculeatus","adult","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",0.5,0,0,2
"146","Actinopterygii","Stomiiformes","Sternoptychidae","Argyropelecus olfersii","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",100,0,0,2
"147","Actinopterygii","Stomiiformes","Sternoptychidae","Maurolicus imperatorius","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",4.2,0.2,0.1,2
"148","Actinopterygii","Stomiiformes","Sternoptychidae","Maurolicus muelleri","adult","mesopelagic","continental shelf","diel (yes)","season (yes)","schooling",85.7142857142857,78.5,24.6,6
"149","Actinopterygii","Stomiiformes","Sternoptychidae","Sternoptyx diaphana","adult","mesopelagic","oceanic","diel (no)","season (yes)","non-schooling",44.4444444444444,0.1,0,1
"150","Actinopterygii","Stomiiformes","Sternoptychidae","Sternoptyx obscura","adult","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",0.996677740863787,0,0,2
"151","Actinopterygii","Stomiiformes","Stomiidae","Bathophilus flemingi","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",0.5,0.1,0,2
"152","Actinopterygii","Stomiiformes","Stomiidae","Melanostomias valdiviae","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",0,0,0,2
"153","Actinopterygii","Stomiiformes","Stomiidae","Photonectes margarita","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",0,0,0,2
"154","Actinopterygii","Sygnathiformes","Centriscidae","Macroramphosus scolopax","adult","demersal","continental shelf","diel (yes)","season (yes)","schooling",30,0,0.07,6
"155","Actinopterygii","Syngnathiformes","Syngnathidae","Entelurus aequoreus","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","schooling",41,0,35,3
"156","Actinopterygii","Syngnathiformes","Syngnathidae","Syngnathus californiensis","juvenile","demersal","coastal","diel (no)","season (yes)","non-schooling",1,0,0,4
"157","Actinopterygii","Tetraodontiformes","Balistidae","Balistes punctatus","juvenile","demersal","coastal","diel (no)","season (no)","non-schooling",1.1,0.2,0.2,4
"158","Actinopterygii","Tetraodontiformes","Balistidae","Canthidermis maculata","juvenile","epipelagic","coastal","diel (no)","season (no)","schooling",1.6,0.1,0,3
"159","Actinopterygii","Tetraodontiformes","Molidae","Masturus lanceolatus","juvenile","epipelagic","oceanic","diel (yes)","season (no)","non-schooling",0.5,0.1,0,5
"160","Actinopterygii","Tetraodontiformes","Molidae","Ranzania laevis","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","non-schooling",2.2,1.3,1.6,5
"161","Actinopterygii","Tetraodontiformes","Ostraciidae","Lactoria diaphana","juvenile","epipelagic","coastal","diel (no)","season (yes)","non-schooling",0.3,0.01593117731,0,3
"162","Actinopterygii","Tetraodontiformes","Ostraciidae","Ostracion cubicus","juvenile","epipelagic","oceanic","diel (no)","season (no)","non-schooling",1.6,0.2,0,3
"163","Actinopterygii","Tetraodontiformes","Tetraodontidae","Lagocephalus lagocephalus","juvenile","epipelagic","coastal","diel (no)","season (yes)","non-schooling",1.6,0,0,3
"164","Cephalopoda","Decapodiformes","Chtenopterygidae","Chtenopteryx sicula","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",33.3333333333333,0,0,2
"165","Cephalopoda","Myopsida","Loliginidae","Alloteuthis subulata","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",1,0.43,0.08,6
"166","Cephalopoda","Myopsida","Loliginidae","Doryteuthis opalescens","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",13.4,6.04437643458301,22.6638560235899,6
"167","Cephalopoda","Octopoda","Alloposidae","Haliphron atlanticus","juvenile","epipelagic","continental shelf","diel (yes)","season (no)","non-schooling",5,0,0,6
"168","Cephalopoda","Octopoda","Argonautidae","Argonauta argo","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling",13.11,2.37,1.6,3
"169","Cephalopoda","Octopoda","Argonautidae","Argonauta nodosus","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling",5,0,0.1,3
